1|2021-06-01|06:50|EA
1|2021-06-01|12:50|SA
1|2021-06-01|13:50|EP
1|2021-06-01|17:10|SP
2|2021-06-01|06:50|EA
2|2021-06-01|12:50|SA
2|2021-06-01|13:50|EP
2|2021-06-01|17:10|SP
1|2021-06-02|06:50|EA
1|2021-06-02|12:50|SA
1|2021-06-02|13:50|EP
1|2021-06-02|17:10|SP
2|2021-06-02|06:50|EA
2|2021-06-02|12:50|SA
2|2021-06-02|13:50|EP
2|2021-06-02|17:10|SP
1|2021-06-03|06:50|EA
1|2021-06-03|12:50|SA
1|2021-06-03|13:50|EP
1|2021-06-03|17:10|SP
1|2021-06-04|06:50|EA
1|2021-06-04|12:50|SA
1|2021-06-04|13:50|EP
1|2021-06-04|17:10|SP
1|2021-06-07|06:50|EA
1|2021-06-07|12:50|SA
1|2021-06-07|13:50|EP
1|2021-06-07|17:10|SP
1|2021-06-08|06:50|EA
1|2021-06-08|12:50|SA
1|2021-06-08|13:50|EP
1|2021-06-08|17:10|SP
1|2021-06-09|06:50|EA
1|2021-06-09|12:50|SA
1|2021-06-09|13:50|EP
1|2021-06-09|17:10|SP
1|2021-06-10|06:50|EA
1|2021-06-10|12:50|SA
1|2021-06-10|13:50|EP
1|2021-06-10|17:10|SP
1|2021-06-11|06:50|EA
1|2021-06-11|12:50|SA
1|2021-06-11|13:50|EP
1|2021-06-11|17:10|SP
1|2021-06-14|06:50|EA
1|2021-06-14|12:50|SA
1|2021-06-14|13:50|EP
1|2021-06-14|17:10|SP
1|2021-06-15|06:50|EA
1|2021-06-15|12:50|SA
1|2021-06-15|13:50|EP
1|2021-06-15|17:10|SP
1|2021-06-16|06:50|EA
1|2021-06-16|12:50|SA
1|2021-06-16|13:50|EP
1|2021-06-16|17:10|SP
1|2021-06-17|06:50|EA
1|2021-06-17|12:50|SA
1|2021-06-17|13:50|EP
1|2021-06-17|17:10|SP
