1|2021-09-01|06:50|EA
1|2021-09-01|12:50|SA
1|2021-09-01|13:50|EP
1|2021-09-01|17:10|SP
2|2021-09-01|06:50|EA
2|2021-09-01|12:50|SA
2|2021-09-01|13:50|EP
2|2021-09-01|17:10|SP
1|2021-09-02|06:50|EA
1|2021-09-02|12:50|SA
1|2021-09-02|13:50|EP
1|2021-09-02|17:10|SP
2|2021-09-02|06:50|EA
2|2021-09-02|12:50|SA
2|2021-09-02|13:50|EP
2|2021-09-02|17:10|SP
1|2021-09-03|06:50|EA
1|2021-09-03|12:50|SA
1|2021-09-03|13:50|EP
1|2021-09-03|17:10|SP
1|2021-09-04|06:50|EA
1|2021-09-04|12:50|SA
1|2021-09-04|13:50|EP
1|2021-09-04|17:10|SP
1|2021-09-07|06:50|EA
1|2021-09-07|12:50|SA
1|2021-09-07|13:50|EP
1|2021-09-07|17:10|SP
1|2021-09-08|06:50|EA
1|2021-09-08|12:50|SA
1|2021-09-08|13:50|EP
1|2021-09-08|17:10|SP
1|2021-09-09|06:50|EA
1|2021-09-09|12:50|SA
1|2021-09-09|13:50|EP
1|2021-09-09|17:10|SP
1|2021-09-10|06:50|EA
1|2021-09-10|12:50|SA
1|2021-09-10|13:50|EP
1|2021-09-10|17:10|SP
1|2021-09-11|06:50|EA
1|2021-09-11|12:50|SA
1|2021-09-11|13:50|EP
1|2021-09-11|17:10|SP
1|2021-09-14|06:50|EA
1|2021-09-14|12:50|SA
1|2021-09-14|13:50|EP
1|2021-09-14|17:10|SP
1|2021-09-15|06:50|EA
1|2021-09-15|12:50|SA
1|2021-09-15|13:50|EP
1|2021-09-15|17:10|SP
1|2021-09-16|06:50|EA
1|2021-09-16|12:50|SA
1|2021-09-16|13:50|EP
1|2021-09-16|17:10|SP
1|2021-09-17|06:50|EA
1|2021-09-17|12:50|SA
1|2021-09-17|13:50|EP
1|2021-09-17|17:10|SP
